split	ordinal	sequence_id	sequence_uid	image_uid	phaseb1_role	image_rel	label_rel	image_bytes	image_sha256	label_bytes	label_sha256	width	height	raw_boxes	effective_boxes	duplicates_removed	class_counts	size_counts_768
train	0	0000002	official_train:0000002	official_train:0000002_00005_d_0000014	TRAIN	images/train/0000002_00005_d_0000014.jpg	labels/train/0000002_00005_d_0000014.txt	98691	17532F304F390479D8B7998863AF7D2C51549702977C1E76B82ED8700DEA7085	3198	7C81C111236752D4BF6E231DEDF7184B116A84E7A8F74EA8E228E3958A384E73	960	540	82	82	0	[11,11,3,39,6,1,1,2,0,8]	[69,13,0]
train	1	0000002	official_train:0000002	official_train:0000002_00448_d_0000015	TRAIN	images/train/0000002_00448_d_0000015.jpg	labels/train/0000002_00448_d_0000015.txt	100183	699587AA61BDCD0A0FD49DD001DF3CBCE002DD78C08586788462C2CF486D0B88	3315	7A8FCBF840D55AA8D26032A32A062FC8E864A90D4EA91CF19F7D03973CD2D3FD	960	540	85	85	0	[24,8,2,12,1,0,1,3,0,34]	[78,7,0]
train	3	0000007	official_train:0000007	official_train:0000007_04999_d_0000036	TRAIN	images/train/0000007_04999_d_0000036.jpg	labels/train/0000007_04999_d_0000036.txt	194306	EC9110D4032CBF8A94C64373CA3418E033277563EC9BAE38FAA05232384831F4	2223	65AD152E77E0E3365E9E8472759127D6A9418EF59FDA182F8937463AE6DDD123	1360	765	57	57	0	[0,0,0,2,3,52,0,0,0,0]	[14,41,2]
train	4	0000007	official_train:0000007	official_train:0000007_05499_d_0000037	TRAIN	images/train/0000007_05499_d_0000037.jpg	labels/train/0000007_05499_d_0000037.txt	190343	8200AAE355E13E07711F16F2789494588AB483FE86267CF655E413420B660951	2340	49CFCC278AD9AD29FE108434C686BEDF9E6DF6C47EC81A10F29BA381FE7C32D2	1360	765	60	60	0	[0,0,0,6,8,46,0,0,0,0]	[16,40,4]
train	5	0000007	official_train:0000007	official_train:0000007_05999_d_0000038	TRAIN	images/train/0000007_05999_d_0000038.jpg	labels/train/0000007_05999_d_0000038.txt	181589	5E346E1378F540CA7342C0D7DE72E8544FCFBD138864ACB826896481DDAAAB76	1560	80209B5EDF337019CA8C918F655B260E89193DF7A5461AB4A7A13D7D7E076382	1360	765	40	40	0	[0,0,0,30,9,1,0,0,0,0]	[17,23,0]
train	6	0000008	official_train:0000008	official_train:0000008_00889_d_0000039	TRAIN	images/train/0000008_00889_d_0000039.jpg	labels/train/0000008_00889_d_0000039.txt	169318	A8BEC46FC2121D2DB16FF124C2CE25165F5C94BC41D32ED6907E3608DFD6767A	546	27D48360DF920C9CA02932B167C9F2B86BCFF98063191043D048BB02BA717B31	1360	765	14	14	0	[0,0,0,0,0,14,0,0,0,0]	[0,9,5]
train	7	0000008	official_train:0000008	official_train:0000008_01999_d_0000040	TRAIN	images/train/0000008_01999_d_0000040.jpg	labels/train/0000008_01999_d_0000040.txt	222423	760395ED1750081A351FDB75DBB4C78020A8DCF2A7C3BEBDB30A4CC343BE337B	702	71DB75BFFE2DA5EF5D4B9FA4F0661FB45832181E86ED6865C72FA0CFC102EE8B	1360	765	18	18	0	[0,0,0,4,3,9,1,0,0,1]	[4,11,3]
train	8	0000008	official_train:0000008	official_train:0000008_02499_d_0000041	TRAIN	images/train/0000008_02499_d_0000041.jpg	labels/train/0000008_02499_d_0000041.txt	170537	49922500E8D574CADA6903C679A9318511D5FD4D0F248B8FE02E8F8D558FE8CD	468	8ED8F0AEA48018CE66A0D809A52FED10888A7EA8AEA8E03075A5BB7BEA7409AC	1360	765	12	12	0	[0,0,0,5,0,7,0,0,0,0]	[0,8,4]
train	9	0000008	official_train:0000008	official_train:0000008_02999_d_0000042	TRAIN	images/train/0000008_02999_d_0000042.jpg	labels/train/0000008_02999_d_0000042.txt	184048	F533363243047910EDF960BED9DDC306BA7F30C1DBA92D27E2E2760E6195812D	1833	6C504885CBD108CC0729CFCDDE6C8FF98E5B8354BB2F597082FC40DD77919BF5	1360	765	47	47	0	[1,0,0,19,2,23,0,0,0,2]	[20,24,3]
train	10	0000008	official_train:0000008	official_train:0000008_03499_d_0000043	TRAIN	images/train/0000008_03499_d_0000043.jpg	labels/train/0000008_03499_d_0000043.txt	165069	C6DECA243A7D47D01166437B766C4F320D886519AA523DE2E4E7D308DBFF07B9	1053	EE791C0AE3B5CB728CAF7C02A3BCCB1C3516FCFD60715622433A8D2898C6B66E	1360	765	27	27	0	[0,0,0,10,2,15,0,0,0,0]	[6,16,5]
train	11	0000008	official_train:0000008	official_train:0000008_03999_d_0000044	TRAIN	images/train/0000008_03999_d_0000044.jpg	labels/train/0000008_03999_d_0000044.txt	173642	99FDF05768DFA187E054BE8E64E384E860053F27920E2087B39D85C359422490	1053	1D09DE1B568858CD01E03CC6376F940AE260C973AAD6A4BF8B47FC6D3069AB16	1360	765	27	27	0	[0,0,0,3,1,23,0,0,0,0]	[7,13,7]
train	12	0000008	official_train:0000008	official_train:0000008_04499_d_0000045	TRAIN	images/train/0000008_04499_d_0000045.jpg	labels/train/0000008_04499_d_0000045.txt	171006	3E19CC2C82AD0A7447224ED6920EF731AF11CFC2670C74E00EDD0902392C3FAD	1014	8ACC94C47625F3180CE1C859F1F5EFB9F58D16EA85ECA5C13E04746F55771AEC	1360	765	26	26	0	[3,0,0,14,0,9,0,0,0,0]	[18,5,3]
train	13	0000010	official_train:0000010	official_train:0000010_00569_d_0000056	TRAIN	images/train/0000010_00569_d_0000056.jpg	labels/train/0000010_00569_d_0000056.txt	173946	B19782B7C179622CC773AAE28C76236DEB2BA4FF98158132FE6CC8427D13071F	1755	A7C8B82C2C77C1FF53208D024372F4B43991089D3791F9F8BEE5AB45E0089208	1360	765	45	45	0	[0,0,0,38,4,3,0,0,0,0]	[14,29,2]
train	14	0000010	official_train:0000010	official_train:0000010_05149_d_0000057	TRAIN	images/train/0000010_05149_d_0000057.jpg	labels/train/0000010_05149_d_0000057.txt	116002	895AD12364C5E0599EE119F9005E6C331E0B509C00870FF0C9ABAC00DA8E0A66	2223	BA8A3FCCFDCF5E1BB05C71AD8C7FC1F01F09EEE862725C69B59702F0BB19F89D	1360	765	57	57	0	[1,0,0,8,17,31,0,0,0,0]	[46,11,0]
train	15	0000010	official_train:0000010	official_train:0000010_05291_d_0000058	TRAIN	images/train/0000010_05291_d_0000058.jpg	labels/train/0000010_05291_d_0000058.txt	173681	661415B07E6B1128B01A6AB89C1AC4379238081692270E0DA42087FC474E74B6	2262	84BB7FDFA4B5ABFD902929793269C2569AE3B1E2A7938BFCB686625639A778AE	1360	765	58	58	0	[2,0,0,19,20,17,0,0,0,0]	[35,23,0]
train	16	0000013	official_train:0000013	official_train:0000013_00465_d_0000067	TRAIN	images/train/0000013_00465_d_0000067.jpg	labels/train/0000013_00465_d_0000067.txt	68536	B526E8BAF2E58FF6ABBD8722960C386B6A0238CA5F2BFA7A852044829DF99D9B	3588	9478BCB915DD3EC60F196D1CA7FC1EE962E1B66DB508B1B13D7B8A5542D929F4	960	540	92	92	0	[58,22,2,0,0,0,1,1,0,8]	[82,10,0]
train	17	0000016	official_train:0000016	official_train:0000016_00420_d_0000068	TRAIN	images/train/0000016_00420_d_0000068.jpg	labels/train/0000016_00420_d_0000068.txt	61032	3B1A12C144C0FA6C75A68DEAE1D0CC2B7DB2342CE88209400C2265DC143F7E61	1794	659A4A72FB778646511C8BA787CC474ABE5D76B9818AC3CCC4C927DED2C805B5	960	540	46	46	0	[25,11,0,0,0,0,0,1,0,9]	[43,3,0]
train	18	0000016	official_train:0000016	official_train:0000016_01352_d_0000069	TRAIN	images/train/0000016_01352_d_0000069.jpg	labels/train/0000016_01352_d_0000069.txt	78942	B3804066252BA7958324A3BBDF1F099B576A5510B85889A24D91ACCE83F4E446	2379	5A027ED9486C32EBC73620838C5F4A0AC1F6F1BC4DADFBBEBB75D317D89882E8	960	540	61	61	0	[26,19,2,0,0,0,0,1,0,13]	[50,11,0]
train	19	0000030	official_train:0000030	official_train:0000030_00754_d_0000036	TRAIN	images/train/0000030_00754_d_0000036.jpg	labels/train/0000030_00754_d_0000036.txt	88031	FEF3AD391E7FBABE1C3A7C4BED6573338BA202CCBA8526E3E856E206BDC51A98	5109	1443080F0594DBAA47519D8C7784DBC16DCE5387A783342042F3C9BCD77E5318	960	540	131	131	0	[89,29,1,1,0,0,0,0,0,11]	[126,5,0]
train	20	0000031	official_train:0000031	official_train:0000031_00000_d_0000037	TRAIN	images/train/0000031_00000_d_0000037.jpg	labels/train/0000031_00000_d_0000037.txt	84632	35FB67141C1637DB62D89277487117E81723A613D870D19A292D6116535250F2	6396	0F9A6C75FECDDC59CFF995FD9104B156BC4640D56AB292F005A8806D80747187	960	540	164	164	0	[131,20,9,0,0,0,0,0,0,4]	[150,14,0]
train	21	0000031	official_train:0000031	official_train:0000031_02000_d_0000041	TRAIN	images/train/0000031_02000_d_0000041.jpg	labels/train/0000031_02000_d_0000041.txt	46845	2B9D6ECCD300383BF3465277661D47C6EE7E8AF30F777D3C40275E14362895CA	2613	CC872D59A64720640AD0FB447E60AC0855CD4262E2F685321372F45861D7DC0A	960	540	67	67	0	[57,6,4,0,0,0,0,0,0,0]	[42,25,0]
train	22	0000031	official_train:0000031	official_train:0000031_03527_d_0000043	TRAIN	images/train/0000031_03527_d_0000043.jpg	labels/train/0000031_03527_d_0000043.txt	70485	BABF767D78B0160A67C1CCFD145F8147DB0D9C11C8F2082FF88FCFABD3BA3A12	3198	4EC6AADDD86E00A47AF4469CBBDE9DBBAE544445FFCF62CD80ADB90AF3D9C24D	960	540	82	82	0	[65,14,3,0,0,0,0,0,0,0]	[65,17,0]
train	25	0000037	official_train:0000037	official_train:0000037_01494_d_0000052	TRAIN	images/train/0000037_01494_d_0000052.jpg	labels/train/0000037_01494_d_0000052.txt	82199	09A1495CEEB6CDD2F447888EBE6167294AAA87838F43E6AD2412736CE9CAB493	8853	15DA260CEC18498C63FB068BBB0FD333AF9A2218E80CD3D469CCFF8F7C7ECA17	960	540	227	227	0	[193,24,7,0,0,0,3,0,0,0]	[216,11,0]
